Scientific Name,Common Name,Duration,Habit,Sun,Water,State Code
Abies lasiocarpa,Subalpine Fir,Perennial,Tree,"Sun, Shade, Part-shade",Moist,AK
Acer circinatum,"Oregon Vine Maple, Vine Maple",Perennial,"Shrub, Tree","Shade, Part-shade",Moist,AK
Acer glabrum,Rocky Mountain Maple,Perennial,Tree,Sun,,AK
Aconitum columbianum,Columbian Monkshood,Perennial,Herb,Shade,Moist,AK
Adiantum pedatum,"Northern Maidenhair Fern, Maidenhair Fern",Perennial,Fern,"Shade, Part-shade",Moist,AK
Agrostis scabra,"Rough Bentgrass, Rough Bent, Ticklegrass, Fly-away Grass",Perennial,Grass/Grass-like,Sun,Dry,AK
Amelanchier alnifolia,"Saskatoon Serviceberry, Western Serviceberry, Juneberry",Perennial,Shrub,"Sun, Shade, Part-shade","Moist, Dry",AK
Anaphalis margaritacea,"Western Pearly Everlasting, Pearly-everlasting",Perennial,Herb,"Sun, Part-shade",Dry,AK
Anemone multifida,"Pacific Anemone, Red Windflower, Early Thimbleweed, Cut-leaf Anemone",Perennial,Herb,"Sun, Shade, Part-shade",Moist,AK
Aquilegia formosa,"Western Columbine, Crimson Columbine, Scarlet Columbine, Red Columbine",Perennial,Herb,"Sun, Part-shade","Moist, Dry",AK
Arctostaphylos uva-ursi,"Kinnikinnick, Red Bearberry, Kinnikinnik",Perennial,Shrub,"Sun, Shade, Part-shade","Moist, Dry",AK
Arnica cordifolia,"Heartleaf Arnica, Heart-leaf Leopardbane",Perennial,Herb,Part-shade,Moist,AK
Athyrium filix-femina,"Common Lady Fern, Subarctic Lady Fern, Lady Fern, Ladyfern",Perennial,"Herb, Fern","Shade, Part-shade","Wet, Moist",AK
Betula occidentalis,"Water Birch, Mountain Birch",Perennial,Tree,"Sun, Shade, Part-shade",Moist,AK
Blechnum spicant,Deer Fern,Perennial,"Herb, Fern","Shade, Part-shade","Wet, Moist",AK
Bolboschoenus maritimus,"Cosmopolitan Bulrush, Saltmarsh Club-rush, Alkali Bulrush, Prairie Bulrush, Bayonet Grass",Perennial,Grass/Grass-like,Sun,Wet,AK
Calamagrostis canadensis,Bluejoint,Perennial,Grass/Grass-like,"Sun, Shade, Part-shade","Wet, Moist",AK
Callitropsis nootkatensis,"Alaska Cedar, Alaska-cedar, Yellow Cedar, Nootka Cedar",Perennial,Tree,Part-shade,Wet,AK
Caltha palustris var. palustris,"Yellow Marsh Marigold, Marsh-marigold, Cowslip",Perennial,Herb,Part-shade,Wet,AK
